"","scores_adabag","scores_svm","scores_rf"
"1083",0.5,0.5,0.5
"1084",1,1,1
"1085",0.5,0.5,0.5
"1086",0.5,0.5,0.5
"1087",1,1,1
"1088",1,1,1
"1089",0.5,1,1
"1090",0.5,0.5,0.5
"1091",1,1,1
"1092",1,1,1
"1093",0.5,0,0.5
"1094",1,1,1
"1095",0.5,0.5,0.5
"1096",1,1,1
"1097",1,1,1
"1098",1,1,1
"1099",0.5,1,1
"1100",1,1,1
"1101",0.5,1,1
"1102",0.5,0.5,0.5
"1103",0.5,1,1
"1104",0.5,0.5,0.5
"1105",0.5,0.5,0.5
"1106",0.5,1,1
"1107",0.5,0.5,0.5
"1108",1,1,1
"1109",0,0.5,0.5
"1110",1,1,1
"1111",1,1,1
"1112",0.5,0.5,0.5
"1113",0.5,0.5,0.5
"1114",1,1,1
"1115",1,1,1
"1116",1,1,1
"1117",1,1,1
"1118",0.5,0.5,0.5
"1119",0.5,0.5,0.5
"1120",1,1,1
"1121",1,0.5,1
"1122",1,1,1
"1123",1,0.5,1
"1124",1,1,1
"1125",0.5,0.5,0.5
"1126",1,1,1
"1127",0.5,0.5,0.5
"1128",0.5,0.5,0.5
